Bus Name,Bus Number,Route,All Stoppage,Stoppage Time,Up Time,Down Time,AlternateName,Agency Name,Bus Type,Contact Number,Alternate Number,Depot Name,Destination
ANTARA,WB673279,ANTARA - C,,,,,PRANER TARA,,Private - NON AC,9434313755,9064334320,Chirkunda,Bankura
BISWA BINA,WB29E6062,BISWA BINA - K,,,,,,,Private - NON AC,8167321465,,Kolkata,Garhbeta
HILLTOP SUPER,WB55B6775,HILLTOP SUPER - P,,,,,GOUTAM,GOUTAM TRAVELS,Private - NON AC,,,Purulia,Baghmundi
HILLTOP SUPER,WB55B6775,HILLTOP SUPER - A,,,,,GOUTAM,GOUTAM TRAVELS,Private - NON AC,,,Ajodhya Hills,Purulia
RUPKATHA,WB494546,RUPKATHA - R,,,,,SUMITRA,SUMITRA TRAVELS,Private - NON AC,9064416998,,Rohini,Kolkata (Esplaned)
RAJLAXMI,WB41K2045,RAJLAXMI - B,,,,,,,Private - NON AC,,,Bardhaman,Bishnupur
BARTAMAN,WB55B6653,BARTAMAN - A,,,,,JOY MAA DEOLI,,Private - AC,9474999159,,Arsha,Bandwan
SREEDHAR,WB870588,SREEDHAR - M,,,,,,,Private - NON AC,9609225108,,Moynapur,Kolkata (Esplaned)
APANJAN,WB15A0564,APANJAN - T,,,,,,,Private - NON AC,,,Tarkeshwar,Fulkusma
SENJUTI,WB57E7140,SENJUTI - K,,,,,,VENTURE TRAVELS,Private - NON AC,,,Kolkata (Esplaned),Baharampur
MONIKANCHAN,WB67E4911,MONIKANCHAN - J,,,,,,,Private - AC,,,Jhargram,Manbazar
SONALI,WB67F0719,SONALI - M,,,,,MAA DURGA,,Private - NON AC,7076348575,,Manbazar,Medinipur
KRISHNA KANHAIAYA,WB313233,KRISHNA KANHAIAYA - M,,,,,,,Private - NON AC,,,Madha Khali,Medinipur
MAHAPRABHU,WB17N2530,MAHAPRABHU - T,,,,,,,Private - NON AC,,,Tarkeshwar,Bankura
MOUSUMI,WB67C2556,MOUSUMI - K,,,,,DISHA,DISHA TRAVELS,Private - NON AC,8116247347,8918839961,Khatra,Bardhaman
